rank	word	count
685	а	39094
686	istinu	39047
687	nemojte	38986
688	uradila	38972
689	otišla	38915
690	pištolj	38902
691	ispod	38719
692	čim	38601
693	mesta	38484
694	izgubio	38449
695	napravio	38389
696	nekako	38387
697	devojke	38359
698	vode	38358
699	kome	37838
700	pošto	37695
701	sećaš	37694
702	uraditi	37691
703	prijatelja	37571
704	umro	37532
705	о	37436
706	jesu	37344
708	moglo	37159
709	njoj	37132
710	njegove	37110
711	trebam	37046
712	ме	36974
714	aha	36827
715	pričam	36795
716	ljubavi	36758
717	odem	36742
718	ispred	36686
719	telo	36566
720	divno	36540
721	tražim	36475
722	jedino	36452
723	piće	36409
724	deca	36349
725	sedi	36295
726	zaboravi	36225
728	ikad	36189
729	dođavola	36182
731	iako	36057
732	gradu	35884
734	dajte	35811
735	decu	35717
736	srećan	35689
737	ostavi	35676
738	učinio	35576
739	krv	35523
740	recite	35519
741	mrzim	35484
742	spremni	35475
743	те	35417
744	poruku	35370
745	uzeo	35348
746	san	35311
747	nekim	35260
748	би	35257
749	telefon	35202
750	razgovarati	35190
751	igra	35080
752	mestu	35033
753	uradiš	34959
755	sine	34821
756	zvao	34799
757	kuća	34746
758	ha	34709
759	kažete	34677
760	tvom	34632
761	ovih	34565
762	pokušavam	34510
763	ostani	34488
764	ovome	34468
765	oboje	34432
766	volela	34376
767	ovi	34320
768	kapetane	34295
769	takav	34215
770	rat	34189
771	sva	34090
772	sećam	34040
773	poslednji	33986
774	sami	33977
775	pogledajte	33972
776	želimo	33930
777	muž	33924
778	deset	33823
779	bojim	33822
780	onog	33768
781	како	33637
782	svako	33620
783	reči	33614
784	zemlji	33598
785	putu	33536
786	bit	33477
787	добро	33471
788	смо	33458
789	vratim	33437
790	njegovo	33431
791	razumeš	33384
792	pitao	33329
793	film	33288
794	traži	33266
795	budu	33229
797	brate	33115
798	ostavio	33086
799	budemo	33055
800	isti	33002
801	cu	32993
802	morati	32974
803	kakve	32969
804	svakog	32953
805	svojoj	32936
806	jedina	32925
807	doktor	32858
808	čuješ	32822
809	dame	32799
810	bok	32764
811	razloga	32722
812	svim	32635
813	zemlju	32630
814	smiri	32608
815	eto	32592
816	druga	32530
817	hajdemo	32520
818	ostali	32488
819	pokušao	32473
820	prva	32453
821	isuse	32318
822	našu	32201
823	miru	32200
824	odeš	32129
825	napred	31949
826	ако	31881
827	pitanju	31864
828	као	31799
829	postoje	31789
830	drugu	31747
831	tražio	31705
832	drugom	31629
833	poslu	31586
834	htio	31374
835	све	31328
836	otvori	31316
837	boli	31311
838	čeka	31282
839	vašu	31061
840	doktore	30847
841	ah	30837
842	napraviti	30802
843	krevet	30686
844	gdine	30653
845	našeg	30607
846	ће	30521
847	ostalo	30436
848	nitko	30420
849	dobre	30320
850	nikoga	30275
851	čovjek	30267
852	lepa	30266
853	njegovu	30262
854	nastavi	30262
855	овде	30254
856	lud	30244
857	kim	30024
858	večeru	29979
859	сте	29969
860	gđo	29832
861	konačno	29831
862	uzeti	29797
863	sveta	29714
864	kraja	29687
865	obično	29633
866	znali	29625
867	tvojim	29596
868	jutros	29572
869	spremna	29490
870	jedva	29482
871	boga	29482
872	smešno	29416
873	koristi	29411
874	školu	29359
875	poziv	29270
876	tih	29256
877	piše	29247
878	svakom	29188
879	krvi	29185
880	poslao	29141
882	zanima	28953
883	mjesto	28905
884	živ	28898
885	dali	28842
886	brže	28796
887	kojoj	28778
888	očigledno	28778
889	počeo	28667
890	posebno	28648
891	priču	28543
892	svakako	28531
893	niti	28453
894	odgovor	28392
895	hoćemo	28344
896	gospodin	28333
897	тако	28301
898	zaboravio	28184
900	shvatio	28040
901	pomozi	28019
902	nova	27999
903	zemlje	27999
904	strašno	27962
905	sledeći	27913
906	trebaš	27896
907	dolazim	27843
908	meseci	27782
909	grada	27719
910	ode	27696
911	među	27683
913	barem	27544
914	želela	27532
915	savršeno	27530
916	он	27494
917	druže	27481
918	stan	27449
919	čuli	27414
920	mrtva	27412
921	kriv	27412
922	devojku	27398
923	noge	27389
924	dobila	27384
925	biću	27356
926	vašeg	27314
927	dobri	27281
928	jebi	27258
929	sreće	27257
930	vesti	27237
931	nećete	27212
932	sasvim	27199
933	dala	27168
934	nosi	27162
935	oče	27032
936	red	26965
937	prošle	26916
938	pronaći	26915
939	uradimo	26907
940	roditelji	26896
941	godinu	26882
942	slušajte	26841
943	tokom	26835
944	nekad	26799
945	dobili	26760
946	time	26756
947	velike	26738
948	kasno	26732
949	misle	26728
950	ka	26709
951	prošlo	26680
952	k	26621
953	majku	26610
954	prijatelju	26606
955	iskreno	26563
956	bolji	26549
957	trenutno	26516
958	zbogom	26482
959	često	26448
960	inače	26440
961	toj	26435
962	kuda	26427
963	ubistvo	26392
964	nađem	26351
966	ubica	26318
967	zabavno	26288
968	odlazi	26268
969	gledam	26253
970	uradili	26156
971	porodicu	26142
972	izlazi	26104
973	našla	26098
974	sobom	26050
975	postao	26049
976	jebeni	26010
977	stigao	25997
978	godinama	25987
979	kojeg	25952
980	tvojoj	25948
981	đavola	25924
982	celu	25913
983	dolaze	25872
984	mojih	25863
985	moraju	25802
986	priliku	25757
987	morala	25667
988	pravila	25609
989	požuri	25595
990	jesmo	25589
991	nemoguće	25578
992	umesto	25544
993	školi	25513
995	napolju	25474
996	drugačije	25432
997	sigurni	25370
998	društvo	25356
999	stavi	25351
1000	meseca	25345
1001	jebeno	25335
1002	strani	25312
1003	vrsta	25307
1004	nove	25298
1005	potrebna	25249
1006	bitno	25198
1007	shvatam	25192
1008	okej	25146
1010	kunem	25098
1011	neverovatno	25069
1012	ubije	25031
1013	loš	25027
1014	miliona	25014
1016	radila	25006
1017	slike	24968
1018	poznajem	24946
1019	знам	24930
1020	pustite	24886
1021	могу	24877
1023	tiče	24844
1025	policiju	24763
1026	pare	24742
1027	veruješ	24664
