lat	cyr	pos	ekav	gloss
Milenov	Миленов	noun		сербская фамилия
Milenović	Миленовић	noun		сербская фамилия
Milentijević	Милентијевић	noun		сербская фамилия
Miletić	Милетић	noun		сербская фамилия
Mileusnić	Милеуснић	noun		сербская фамилия
Milević	Милевић	noun		сербская фамилия
Milešević	Милешевић	noun		сербская фамилия
Milešić	Милешић	noun		сербская фамилия
Milidrag	Милидраг	noun		сербская фамилия
Milijanović	Милијановић	noun		сербская фамилия
Milijančević	Милијанчевић	noun		сербская фамилия
milijarda	милијарда	num		миллиард
milijarder	милијардер	noun		миллиардер (обладатель миллиардного состояния)
Milijaš	Милијаш	noun		сербская фамилия
Milijašević	Милијашевић	noun		сербская фамилия
Milijić	Милијић	noun		сербская фамилия
Milikić	Миликић	noun		сербская фамилия
milimetar	milimetar	noun		миллиметр
milimetar	милиметар	noun		миллиметр
Milinić	Милинић	noun		сербская фамилия
Milinkov	Милинков	noun		сербская фамилия
Milinković	Милинковић	noun		сербская фамилия
Milinov	Милинов	noun		сербская фамилия
Milinović	Милиновић	noun		сербская фамилия
Milinčević	Милинчевић	noun		сербская фамилия
Milinčić	Милинчић	noun		сербская фамилия
milion	милион	num		миллион
Milisavac	Милисавац	noun		сербская фамилия
Milisavljević	Милисављевић	noun		сербская фамилия
militarizacija	милитаризација	noun		милитаризация
militarizovati	милитаризовати	verb		милитаризовать; милитаризировать, военизировать
Milivojev	Миливојев	noun		сербская фамилия
Milivojević	Миливојевић	noun		сербская фамилия
Milivojčević	Миливојчевић	noun		сербская фамилия
Milić	Милић	noun		сербская фамилия
Milićev	Милићев	noun		сербская фамилия
Milićević	Милићевић	noun		сербская фамилия
Miličić	Миличић	noun		сербская фамилия
Milišić	Милишић	noun		сербская фамилия
Miljaković	Миљаковић	noun		сербская фамилия
Miljanić	Миљанић	noun		сербская фамилия
Miljanović	Миљановић	noun		сербская фамилия
Miljenović	Миљеновић	noun		сербская фамилия
Miljević	Миљевић	noun		сербская фамилия
Miljković	Миљковић	noun		сербская фамилия
Miljuš	Миљуш	noun		сербская фамилия
Milkanović	Милкановић	noun		сербская фамилия
Milkić	Милкић	noun		сербская фамилия
Milkov	Милков	noun		сербская фамилия
Milković	Милковић	noun		сербская фамилия
Milkovski	Милковски	noun		сербская фамилия
Milojević	Милојевић	noun		сербская фамилия
Milojić	Милојић	noun		сербская фамилия
Milojičić	Милојичић	noun		сербская фамилия
Milojkić	Милојкић	noun		сербская фамилия
Milojković	Милојковић	noun		сербская фамилия
Milojčević	Милојчевић	noun		сербская фамилия
Milojčić	Милојчић	noun		сербская фамилия
Miloradović	Милорадовић	noun		сербская фамилия
Milosavljev	Милосављев	noun		сербская фамилия
Milosavljević	Милосављевић	noun		сербская фамилия
milosrđe	милосрђе	noun		милосердие
Milovac	Миловац	noun		сербская фамилия
Milovanović	Миловановић	noun		сербская фамилия
Milovančev	Милованчев	noun		сербская фамилия
Milovančević	Милованчевић	noun		сербская фамилия
milovati	миловати	verb		ласкать
milovati	milovati	verb		ласкать
Milović	Миловић	noun		сербская фамилия
Milovčević	Миловчевић	noun		сербская фамилия
Milošev	Милошев	noun		сербская фамилия
Milošević	Милошевић	noun		сербская фамилия
Miltenović	Милтеновић	noun		сербская фамилия
Milunić	Милунић	noun		сербская фамилия
Milunov	Милунов	noun		сербская фамилия
Milunović	Милуновић	noun		сербская фамилия
Milurović	Милуровић	noun		сербская фамилия
Milutinov	Милутинов	noun		сербская фамилия
Milutinović	Милутиновић	noun		сербская фамилия
Milušić	Милушић	noun		сербская фамилия
Milčanović	Милчановић	noun		сербская фамилия
Milčević	Милчевић	noun		сербская фамилия
mimika	мимика	noun		мимика
Mimović	Мимовић	noun		сербская фамилия
mimoza	мимоза	noun		ботан. мимоза (аналогично русскому слову)
Minaković	Минаковић	noun		сербская фамилия
minarhizam	минархизам	noun		полит. минархизм
Minderović	Миндеровић	noun		сербская фамилия
mineral	минерал	noun		минерал
