lat	cyr	pos	ekav	gloss
astronomski				астрономический
asunsion				асунсьон
atanasije				афанасий
ataraksija				атараксия
ataraksja				атараксия
atavistički				атавистический
atavizam				атавизм
ateist				атеист
ateistkinja				атеистка
ateizam				атеизм
atena				афина
atina				афина
atlantida				атлантида
atlantski				атлантический
atmosfera				атмосфера
atol				атолл
atom				атом
atomizam				атомизм
atonalan				атональный
atopija				атопия
atp				аденозинтрифосфат
atraktor				аттрактор
auerbah				ауэрбах
augije				авгий
augit				авгит
augzburg				аугсбург
aukcija				аукцион
aura				аура
australazija				австралазия
australija				австралия
australijanka				австралийка
australopitekus				австралопитек
austrija				австрия
austrijanka				австрийка
austrofašizam				австрофашизм
austrougarska				австро-венгрия
austrougarski				австро-венгерский
autarkija				автаркия
autizam				аутизм
auto				автомобиль
auto-				авто-
autobiografija				автобиография
autobus				автобус
autobuski				автобусный
autogen				автоген, автогенный
autoginofilija				аутогинефилия
autogol				автогол
autohipnoza				самогипноз
autokratija				автократия
automat				пистолет-пулемёт
automatizacija				автоматизация
automatizam				автоматизм
automobil				автомобиль
automobil-cisterna				автомобиль-цистерна
automobilist				автомобилист
automobilista				автомобилист
automobilistkinja				автомобилистка
automobilizam				автомобилизм, автоспорт
automobilski				автомобильный
automotoklub				автомотоклуб
autonomija				автономия
autoportret				автопортрет
autoprevoz				автотранспорт
autopsija				аутопсия
autoput				автострада
autor				автор
autoregulacija				саморегуляция
autorski				авторский
autosugestija				самовнушение
autotomija				автотомия
autsorsing				аутсорсинг
avalist				авалист
avan				ступка
avans				аванс
averoizam				аверроизм
avganistan				афганистан
avgust				август
avijacija				авиация
avijatičar				авиатор
avinjonski				авиньонский
avio-kompanija				авиакомпания
avio-prevoznik				авиаперевозчик
avion				самолёт
avitaminoza				авитаминоз
aviza				авизо
avnoj				авною
avokado				авокадо
azerbejdžan				азербайджан
azerbejdžanski				азербайджанский
azerski				азербайджанский
azija				азия
azimut				азимут
azimutni				азимутальный
azot				азот
aždaha				дракон
aždaja				дракон
baba				бабушка
babičin				акушеркин
babuvizam				бабувизм
bacati				бросать
bacil				бацилла
backgammon				нарды
badem				миндаль
bademast				миндальный
baden-virtemberg				баден-вюртемберг
badminton				бадминтон
bag				жучок
bagdad				багдад
bager-odlagač				абзетцер
bahanalije				вакханалия
bahrein				бахрейн
bajkal				байкал
bakalar				треска
bakar				медь
