order	lemma	pos	spoken	web	forms	sentences	gloss
824	košnica	NOUN	927	8265	14	2	улей
825	prezir	NOUN	921	2904	32	1	презрение
826	povraćanje	NOUN	915	3305	15	0	физиол. рвота
827	bučan	ADJ	905	3198	191	0	шумный
828	livada	NOUN	905	6300	15	0	?
829	krhak	ADJ	904	2578	191	0	хрупкий (также перен.)
830	svetionik	NOUN	903	1330	30	0	маяк
831	bubnjar	NOUN	902	1888	17	0	барабанщик
832	bobica	NOUN	898	1284	14	0	ягода
833	ponavljanje	NOUN	894	7748	15	0	повторение
834	pečenje	NOUN	887	4630	15	0	кулин. жаркое
835	bakar	NOUN	886	7244	15	0	хим. медь
836	usev	NOUN	886	6291	30	0	с.-х. посев (то, что посеяно)
837	obuća	NOUN	882	8835	15	1	обувь
838	krojač	NOUN	881	947	15	0	портной
839	samostalan	ADJ	880	28143	191	0	независимый, самостоятельный
840	presedan	NOUN	879	4304	15	0	прецедент
841	financijski	ADV	876	2346	184	0	финансовый
842	zapovedati	VERB	872	1289	204	0	приказывать; распоряжаться
843	mirovni	ADJ	871	7955	63	0	миротворческий (о силах); мирный (о переговорах)
844	rakun	NOUN	871	148	15	0	зоол. енот, енот-полоскун (Procyon Lotor)
845	jačina	NOUN	870	7241	15	0	сила, мощность; интенсивность
846	blagajna	NOUN	865	3178	16	0	кассовый аппарат
847	vir	NOUN	860	3011	16	0	водоворот
848	finansirati	VERB	855	36501	102	0	финансировать
849	umorstvo	NOUN	854	97	15	0	убийство
850	trup	NOUN	851	2335	15	0	анат. туловище, торс, корпус; остов, корпус
851	labud	NOUN	847	1545	23	0	зоол. лебедь
852	sisar	NOUN	832	2229	17	0	млекопитающее
853	ujedno	ADV	830	26349	1	0	вместе, одновременно
854	oslobođenje	NOUN	814	10754	15	0	освобождение
855	umor	NOUN	814	6578	15	0	усталость, утомление, утомлённость
856	zraka	NOUN	811	3069	15	1	луч (света)
857	samouveren	ADJ	806	1440	380	0	самоуверенный
858	samostan	NOUN	787	994	15	0	религ. монастырь
859	demokratski	ADV	786	86788	184	0	демократический
860	bušilica	NOUN	785	691	14	0	дрель
861	zadah	NOUN	777	1220	14	0	смрад, зловоние, вонь
862	osigurač	NOUN	776	1201	15	0	техн. предохранитель
863	alga	NOUN	776	2455	16	0	водоросль
864	taktički	ADV	775	3660	64	0	тактический
865	velikodušnost	NOUN	769	584	15	0	великодушие
866	krijumčarenje	NOUN	758	1581	15	0	юр. контрабанда
867	knjižnica	NOUN	758	821	14	0	библиотека
868	procenjivati	VERB	754	17746	204	0	оценивать
869	šamar	NOUN	753	2672	15	0	пощёчина, оплеуха
870	donošenje	NOUN	752	34186	15	0	(о решении) принятие
871	krijumčar	NOUN	751	508	17	0	контрабандист
872	neprijateljstvo	NOUN	749	2552	15	0	враждебность, вражда, неприязнь
873	valcer	NOUN	742	930	15	0	вальс
874	azil	NOUN	738	7245	15	0	убежище, приют
875	borovnica	NOUN	717	2219	14	0	ботан. черника
876	krišom	ADV	710	1697	1	0	тайно, тайком, скрытно, секретно
877	pomorandža	NOUN	710	2503	16	2	ботан. апельсин
878	manjina	NOUN	710	30884	15	0	меньшинство
879	skakač	NOUN	709	970	15	0	прыгун; шахм. конь
880	hrčak	NOUN	707	954	16	0	хомяк
881	neoprostiv	ADJ	705	727	191	0	непростительный
882	klizav	ADJ	705	1400	191	0	скользкий, склизкий
883	mulj	NOUN	705	2720	23	0	?
884	vazduhoplovstvo	NOUN	700	3964	15	0	авиация, воздухоплавание
885	strašilo	NOUN	699	493	15	0	пугало
886	potcenjivati	VERB	697	2179	102	0	недооценивать
887	predoziranje	NOUN	697	368	15	0	мед. передозировка
888	neposlušnost	NOUN	686	1232	15	0	непослушание, неповиновение
889	papak	NOUN	682	573	15	0	копыто
890	fudbaler	NOUN	680	32048	15	0	футболист
891	sumpor	NOUN	679	1648	15	0	хим. сера
892	turistički	ADJ	676	49061	184	0	туристический
893	jegulja	NOUN	675	282	15	0	ихтиол. угорь (anguilla)
894	vrabac	NOUN	666	2168	15	1	орнитол. воробей
895	novinarstvo	NOUN	663	10208	15	0	журналистика
896	računovodstvo	NOUN	663	5366	15	0	бухгалтерский учёт
897	nag	ADJ	660	1939	191	0	голый, нагой
898	leglo	NOUN	659	4305	15	0	выводок; логово, логовище, лёжка
899	grmljavina	NOUN	657	1557	15	0	метеорол. гроза
900	šaljivdžija	NOUN	652	275	14	0	большой шутник
901	vrtlog	NOUN	647	1623	14	0	водоворот
902	radnica	NOUN	646	2879	14	1	работница
903	oporuka	NOUN	646	227	15	0	юр. завещание
904	miraz	NOUN	645	874	16	0	приданое
905	golicati	VERB	644	508	102	0	щекотать
906	mol	NOUN	642	2231	16	0	муз. минор
907	hologram	NOUN	641	487	15	0	голограмма
908	upravljač	NOUN	637	5846	15	0	руль, рулевое колесо
909	hrkati	VERB	637	427	29	0	храпеть
910	čekaonica	NOUN	635	1388	14	0	приёмная
911	ševa	NOUN	635	495	15	0	?
912	čep	NOUN	634	1639	16	0	пробка (затычка)
913	crnkinja	NOUN	634	281	15	0	негритянка
914	varnica	NOUN	630	1340	42	0	искра
915	uranijum	NOUN	630	2587	15	0	уран, хим. химический элемент с атомным номером 92, обозначается химическим символом U, радиоактивный металл из группы т
916	vukov	ADJ	628	4262	70	0	?
917	tolerancija	NOUN	628	12128	15	1	толерантность, терпимость
918	sabotirati	VERB	627	1015	109	0	саботировать
919	usporedba	NOUN	625	696	18	0	сравнение
920	bezosećajan	ADJ	621	459	382	0	бесчувственный
921	vremeplov	NOUN	619	1200	15	0	машина времени
922	lala	NOUN	617	2742	22	0	ботан. тюльпан (Tulipa)
923	mehur	NOUN	614	1073	30	0	пузырь; мочевой пузырь
